_id,event,participantId,timestamp,appName,category,sceneName,eventName,deviceId,turnsCompleted,timeTakenToComplete,totalTurnsCompleted,gamesCompleted,timeTakenInGame,timeSpentInGame,version
65446018a37666f0d1b7cb4a,,17,2023-11-03 02:51:04.643,Top Of The Class,Event,Gameplay,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
6544606da37666f0d1b7cb4c,,18,2023-11-03 02:52:29.454,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
6544606da37666f0d1b7cb4e,,18,2023-11-03 02:52:29.886,Top Of The Class,Event,Main Menu,Player Chose Local Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654460aba37666f0d1b7cb50,,19,2023-11-03 02:53:31.252,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654460aba37666f0d1b7cb52,,19,2023-11-03 02:53:31.735,Top Of The Class,Event,Main Menu,Player Chose Local Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654460bfa37666f0d1b7cb54,,19,2023-11-03 02:53:51.611,Top Of The Class,Event,Gameplay,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
654460bfa37666f0d1b7cb56,,19,2023-11-03 02:53:51.673,Top Of The Class,Event,Gameplay,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654460cfa37666f0d1b7cb58,,19,2023-11-03 02:54:07.157,Top Of The Class,Event,Gameplay,Player: 1 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,28.602964401245117,,,,,
654460cfa37666f0d1b7cb5a,,19,2023-11-03 02:54:07.167,Top Of The Class,Event,Gameplay,Player: 1 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
654460cfa37666f0d1b7cb5c,,19,2023-11-03 02:54:07.222,Top Of The Class,Event,Gameplay,Player: 0 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,0.0,,,,,
65446110a37666f0d1b7cb5e,,19,2023-11-03 02:55:12.814,Top Of The Class,Event,Gameplay,Player: 0 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,74.49996185302734,,,,,
65446110a37666f0d1b7cb61,,19,2023-11-03 02:55:12.821,Top Of The Class,Event,Gameplay,"Game Finished, First to Last Place: Player: 1, ",a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,74.49996185302734,,,,,
65446110a37666f0d1b7cb64,,19,2023-11-03 02:55:12.831,Top Of The Class,Session,Gameplay,Return to Main Menu,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,2.0,1.0,81.5694808959961,,
65446110a37666f0d1b7cb65,,19,2023-11-03 02:55:12.828,Top Of The Class,Event,Gameplay,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,3.0,0.0,,,,,
65446110a37666f0d1b7cb66,,19,2023-11-03 02:55:12.839,Top Of The Class,Event,Gameplay,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,0.0,,,,,
65446136a37666f0d1b7cb68,,19,2023-11-03 02:55:50.103,Top Of The Class,Session,Main Menu,Exit Game,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,3.0,1.0,117.44868469238281,,
6544627aa37666f0d1b7cb6a,,20,2023-11-03 03:01:14.535,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
6544627aa37666f0d1b7cb6c,,20,2023-11-03 03:01:14.544,Top Of The Class,Session,Main Menu,Exit Game,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,0.0,0.0,,0.0,
65446290a37666f0d1b7cb6e,,20,2023-11-03 03:01:36.627,Top Of The Class,Session,Main Menu,Exit Game,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,0.0,0.0,,22.149227142333984,
654463e7a37666f0d1b7cb70,,21,2023-11-03 03:07:19.558,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654463e9a37666f0d1b7cb72,,21,2023-11-03 03:07:21.241,Top Of The Class,Event,Main Menu,Player Chose Online Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654463eea37666f0d1b7cb74,,22,2023-11-03 03:07:26.547,Top Of The Class,Event,Lobby,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
